PESEL;Imię;Nazwisko;Czy nadal pracuje;Data Zatrudnienia
84053104423;AGATA;STASZEL;1;28-04-2019
85010933300;DANIELA;NYKIEL;0;09-06-2019
60092242986;JUSTYNA;WISZNIEWSKA;0;22-04-2019
71032348262;NELA;KRZYZOWSKA;0;13-08-2018
87052355302;MAJA;HONCHARENKO;0;03-05-2016
72121589580;NATALIIA;DYMINSKA;1;18-03-2017
55090225806;DANUTA;SALWA;1;18-02-2017
89071688999;NINA;MYSZKA;0;06-09-2019
90091473629;ANTON;WAWRZYCZEK;1;19-10-2019
56061276362;LUDWIK;PACZYNSKI;1;25-06-2016
83080357141;CECYLIA;LESZEK;1;02-06-2016
96033100697;LENA;GUZNICZAK;1;06-08-2018
73120753280;ALICJA;RAWA;0;14-09-2017
89061908490;BOGDAN;WYSOCZANSKI;1;13-02-2017
54082711194;WERONIKA;KUPIEC;1;08-11-2017
53041866993;IHOR;DANIELCZYK;0;25-04-2018
74090397630;JANINA;MAGDZIAK;1;10-06-2018
57031234522;ANETA;ZACZEK;1;22-11-2016
92071161007;MALGORZATA;KEDRA;0;04-07-2019
64042390842;TERESA;BOLESTA;1;13-03-2018
55040951669;BOGUSLAWA;PYTLAK;0;13-06-2019
93070582604;EMIL;GLAB;0;22-01-2017
80070367821;MARTA;STRACZEK;1;08-05-2019
59061689022;AMELIA;PISKORSKA;1;06-07-2016
56052017840;WIKTORIA;PACIA;0;11-10-2017
79061631188;MARIANNA;PLEWINSKA;1;28-02-2017
89050178471;VALERIIA;ROGOZINSKA;1;02-12-2016
91043040537;SVITLANA;CEGIELKA;0;03-03-2018
68061011399;HALYNA;WESOLA;0;01-11-2016
64082269771;MARIUSZ;SIUTA;1;25-12-2019
92122538123;KAROL;MARKS;1;16-06-2018
74062657702;MAKSYMILIAN;KOCH;0;13-06-2016
74082673904;FRANCISZEK;NITECKI;0;26-01-2019
73033089021;ELIZA;JAGUSIAK;0;28-08-2017
90090901226;WIESLAWA;WEGLARZ;1;13-01-2017
66050979714;WITOLD;GEISLER;0;12-12-2019
63030216889;GERTRUDA;DYLAG;1;14-04-2017
70081721129;ZDZISLAWA;CYBULSKA;1;28-01-2016
