id;PESEL;Imię;Nazwisko;Czy nadal pracuje;Data Zatrudnienia
101;71080915634;MONIKA;WOLSZCZAK;1;01-08-2023
102;70111074377;ROMUALD;CIBA;0;15-12-2020
103;72050227467;JAKUB;ZOLTEK;1;13-03-2021
104;74031374580;NATALIIA;BELKA;0;25-02-2020
105;56012415514;DANIEL;PACULA;0;30-05-2020
106;71070846605;HONORATA;ZAWISZA;0;05-01-2021
107;55080438188;JACEK;GULA;0;25-10-2021
108;97091110350;YANA;BOSEK;1;23-05-2022
109;78031445730;GABRIEL;PARZYCH;1;03-04-2021
110;54121614228;ANTONI;KOTLINSKI;1;16-12-2022
