Id;Imię;Nazwisko;Data Urodzenia;Data Rejestracji;Pesel
1;MIECZYSLAW;BABICKI;03-11-1955;04-01-2018;273070355630
2;POLA;FRANKOWSKA;18-02-1998;31-01-2019;299112682815
3;AMELIA;GAWLINSKA;23-07-1960;24-01-2018;558020743937
4;KORNELIA;SKRZYPEK;01-07-1985;27-01-2017;154040154635
5;MACIEJ;PONIATOWSKI;30-04-2002;17-04-2017;558091539101
6;KALINA;BOCZAR;07-01-1995;18-12-2018;699121477364
7;OLEKSANDRA;PAZ;22-04-1957;29-12-2016;993070792263
8;BERNADETA;MIRGA;01-07-1960;27-11-2018;974012960820
9;MIROSLAWA;KRAJNIK;02-12-1957;25-06-2018;171123125575
10;KALINA;LUKASIEWICZ;20-07-1973;28-01-2019;894012207781
11;TETIANA;WALASEK;20-04-1971;03-02-2018;693041773575
12;JANINA;TYRALA;01-06-1953;03-10-2018;557031255176
13;LILIANNA;CICHOWICZ;23-12-1981;17-07-2018;466110850982
14;STEFANIA;KLEPACZ;08-11-1998;22-06-2019;500040939757
15;MARIANA;STEFANOWSKA;02-06-1998;07-07-2019;176021114503
16;ANDRZEJ;MAGDZIARZ;13-01-1951;16-06-2016;366061346261
17;MAGDA;SKARZYNSKA;19-03-1974;07-12-2018;494102841894
18;PAWEL;CZYSZCZON;12-05-1989;04-02-2017;600060138204
19;DENYS;KLIMEK;22-02-1975;27-06-2019;572092779628
20;PAWEL;KIELKOWSKI;31-03-1963;12-10-2018;751030232481
21;INNA;GORAL;21-06-1972;22-01-2018;298060218763
22;ROZALIA;RYS;21-10-1975;13-11-2016;460051351970
23;LUKASZ;SICINSKI;27-02-1958;14-06-2016;950030785617
24;IZABELA;KOCIUBA;14-10-1993;03-07-2017;593081341905
25;MALGORZATA;KUKUCZKA;23-02-1957;23-07-2018;876100501631
26;KORNELIA;BARTOCHA;22-10-1966;18-10-2018;794112257175
27;KAZIMIERA;STOPINSKA;08-01-1958;14-01-2017;958121872995
28;WANDA;WALKUSZ;05-02-1961;05-03-2019;576011761070
29;MALGORZATA;KRYSIK;18-03-1995;09-08-2019;574051156470
30;KACPER;KLIM;16-08-1990;13-12-2018;884102318581
31;KARINA;PROROK;21-04-1983;08-11-2016;371010767655
32;JOANNA;JASZEWSKA;20-06-1993;19-01-2017;566050288922
33;ZUZANNA;SZYMONIAK;01-11-1997;20-01-2017;260050929278
34;ROZA;KUTA;24-04-1977;11-02-2016;856020815449
35;NATALIIA;BACH;04-06-1995;30-08-2017;658011006285
36;TOBIASZ;PAROL;25-01-1994;23-09-2019;191102992479
37;WIOLETA;DRYWA;26-11-1951;12-05-2017;160092895727
38;ANTON;MACZYNSKI;18-10-1970;22-12-2017;158012826263
39;LESLAW;KOTKOWSKI;11-02-1992;21-12-2019;675110999932
40;MARTA;PAPIS;27-04-1951;08-05-2017;253090285249
41;JUSTYNA;ANTKOWIAK;20-01-1998;25-04-2017;793012004064
42;WIKTORIA;TWAROG;11-10-1958;06-10-2016;674080390008
43;BEATA;KAPTUR;11-05-1978;17-12-2016;968032521631
44;AGATA;BRZOSKA;14-10-2002;01-07-2018;654090144359
45;BOZENA;PIASCIK;27-11-1950;09-11-2016;772100215727
46;NAZAR;KARAS;20-03-1967;14-08-2019;980071974746
47;KAZIMIERZ;ZACHWIEJA;25-05-1962;18-02-2019;275121989420
48;TATIANA;WASILUK;08-02-1990;06-07-2016;170030335021
49;LUIZA;ORZECH;20-05-1988;12-03-2019;991042369462
50;ELWIRA;SMUGA;17-02-1957;22-08-2019;154071506223
51;KAROLINA;JAGODA;28-03-2002;02-06-2019;365021209343
52;ADAM;JAWOROWSKI;20-03-1999;19-04-2019;254010146065
53;OLIWIA;BASISTA;18-01-1992;25-03-2018;995112007171
54;WIOLETA;PIEKUTOWSKA;11-05-1971;02-09-2018;352102932416
55;YURII;JACHYM;05-03-1981;28-03-2018;169120710471
56;LUDWIK;BRODZIK;18-09-1952;17-05-2018;500072027944
57;HENRYK;GRZYB;12-03-1979;01-10-2018;783070539532
58;TERESA;BIALECKA;09-04-1999;26-09-2018;275052338845
59;SANDRA;GOSK;10-05-1995;10-10-2017;469031491990
60;WITOLD;ZALUSKI;16-01-1984;17-04-2016;293032614704
61;EUGENIA;TWOREK;18-04-1994;14-10-2017;775040906221
62;TYMON;ZIEMIANSKI;27-02-1959;16-09-2016;166040867201
63;VIOLETTA;PODSIADLY;06-10-1957;19-04-2017;386072433798
64;KLAUDIA;SUWALA;16-09-1994;23-05-2017;359070817351
65;INNA;LASZKIEWICZ;27-11-1953;09-11-2018;562110681120
66;MARIAN;GLODOWSKI;31-03-1955;09-08-2016;293033075258
67;NIKODEM;NIEWIADOMSKI;07-05-1974;16-09-2016;754102169803
68;KORNEL;BIEDRON;26-11-1994;19-10-2017;491030243935
69;JOLANTA;CZOGALA;17-03-2001;30-01-2017;685092342843
70;AMELIA;TWARDZIK;24-11-1963;31-05-2019;992032058080
71;VERONIKA;KONARZEWSKA;29-03-1966;17-02-2019;851081501932
72;DOROTA;POTOCZNA;02-12-1962;14-08-2018;151011070276
73;LUCYNA;LUBKOWSKA;23-08-1990;17-03-2017;979050731359
74;ANDREI;RZASA;11-03-1962;28-01-2017;784070333199
75;STANISLAWA;KOLENDA;20-03-1971;23-07-2018;999031864500
76;WIESLAWA;SZYMKOWSKA;03-01-1993;04-06-2017;792020905130
77;KAMIL;SOCKO;16-06-1992;05-01-2019;463111720259
78;MARIOLA;MACHALA;04-11-1972;20-09-2018;182040902237
79;REGINA;SWIERKOT;04-01-1986;08-05-2018;602072497161
80;EDYTA;GALKOWSKA;17-11-1987;25-11-2018;788120755929
81;KATERYNA;ZLOTKOWSKA;03-01-1959;25-06-2018;958122304677
82;MARLENA;ZMYSLONA;28-11-1967;16-09-2017;290052294382
83;EUGENIUSZ;KUBICKI;06-08-1956;09-05-2019;872110346610
84;JACEK;WAJDA;16-08-1955;14-11-2017;373090712280
85;KALINA;KOZIOL;18-12-1956;22-03-2017;294081959084
86;VIKTORIIA;SOBIESIAK;07-02-1964;26-10-2019;762120154671
87;GRZEGORZ;WOZNICKI;20-11-1964;27-01-2019;186031411169
88;LILIIA;HUBER;14-03-1970;07-06-2016;891011370013
89;KRYSTIAN;SOBIECH;23-12-1986;06-08-2019;650100280368
90;ALEXANDER;OWSIANY;13-06-1974;15-12-2018;475102218378
91;TETIANA;NAUMENKO;06-10-1960;09-02-2017;662030403021
92;HELENA;FURGALA;14-08-1997;14-04-2017;765090555494
93;LIDIA;GALAZKA;08-06-1972;18-03-2016;669121401152
94;YAROSLAV;DYL;20-12-1988;15-08-2018;902052250462
95;KAMILA;SZYMANIAK;22-11-1979;11-08-2019;350033172772
96;WLADYSLAWA;NOWOSAD;11-05-1981;18-10-2016;569020714616
97;NIKOLA;HRYSHCHENKO;24-11-1970;15-12-2019;177061635183
98;KAMIL;PASIK;09-01-1989;01-10-2018;250111133392
99;HANNA;BEDNARZ;23-08-1950;16-12-2018;389011559826
100;JUSTYNA;WICINSKA;10-09-1951;04-09-2016;753031067330
101;TARAS;KURCZYNSKI;03-07-1957;18-05-2019;481081171352
102;KRZYSZTOF;RYKACZEWSKI;22-11-1977;07-06-2017;493120548163
103;GENOWEFA;KOTWICKA;22-06-1973;16-10-2017;279111441330
104;OLHA;DZIURA;08-10-1955;21-08-2017;162120671234
105;LENA;SZCZUBELEK;27-10-1993;17-11-2017;584032594782
106;JUSTYNA;GORNY;08-11-1997;09-02-2016;975103116550
107;WERONIKA;TOMAS;29-02-1996;18-04-2017;667011165218
108;BOZENA;SZCZEPANCZYK;25-11-1983;02-09-2017;660021025691
109;AURELIA;DEMIANIUK;26-08-1995;14-07-2018;675012778282
110;DOMINIKA;YAREMCHUK;11-12-1969;18-10-2018;188111191155
111;KINGA;WOLOWICZ;31-10-1961;28-04-2016;876071764377
112;BOZENNA;PODSIADLO;04-08-1970;28-12-2018;771101259326
113;JULIA;MIKULSKA;08-05-1963;28-08-2017;478060921911
114;MAGDA;STALA;24-01-1955;26-06-2019;874072606235
115;JAKUB;ZIEMSKI;08-10-1962;14-09-2018;784071773674
116;SLAWOMIR;KASZUBOWSKI;22-01-1968;09-09-2016;773093088931
117;BOLESLAW;NIKLAS;04-06-1983;14-09-2019;475081168779
