Id;Imię;Nazwisko;Data Urodzenia;Data Rejestracji;Pesel
101;GRAZYNA;KARCZ;31-01-1984;28-10-2019;79072602432
102;TYMON;KIELAN;09-09-2006;24-07-2018;99041612103
103;IGA;ORMAN;27-08-1950;30-06-2018;97070726701
104;EWA;LAPKA;20-10-1983;15-08-2018;70072797834
105;KRZYSZTOF;GLEN;08-04-1951;05-02-2016;74122250904
106;KRZYSZTOF;BOROWIEC;19-10-1967;20-09-2016;04092059047
107;ANTONINA;KOKOSZKA;09-04-1963;20-04-2019;55012775615
108;MYKOLA;WOLANIN;15-10-1965;23-03-2016;66092249985
109;DENYS;POZNIAK;08-12-1988;22-10-2017;71041263831
110;KHRYSTYNA;WYSZOMIRSKA;04-10-1979;12-05-2016;04071986366
